ID,Shape,Polymer,Polymer_name,Degradation,shoot_mg,root_mg,totalmass_mg,WSA,CO2_ppm,SRSA,SRL,RTD,diameter_mm,WaterAbsorb,UV_Incubation_Days,Soil_Incubation_Days,Total_Incubation_Days,Degradation_Percent
PP-C2-5,Fiber,Fiber_PP,Polypropylene,Degraded,93.3,59.8,153.1,50.11,2155.995453,17.831068,222.4568932,88.0342,0.2551,3,14,85,99,51.46
PP-C2-6,Fiber,Fiber_PP,Polypropylene,Degraded,91.4,71.6,163.0,45.21,2408.276566,12.902727,160.4118182,122.2222,0.256,2,14,85,99,57.33
PP-C2-7,Fiber,Fiber_PP,Polypropylene,Degraded,85.0,57.2,142.2,50.91,2486.658867,18.860319,233.5719149,82.4561,0.257,3,14,85,99,59.3
PET-C2-1,Fiber,Fiber_PET,Polyethylene_terephthalate,Degraded,55.2,75.9,131.1,53.92,2089.074038,16.49,238.5018868,110.4167,0.2201,2,28,85,113,49.76
PET-C2-2,Fiber,Fiber_PET,Polyethylene_terephthalate,Degraded,75.1,59.4,134.5,48.92,1078.437551,18.547377,243.1047541,88.4058,0.2428,3,28,85,113,25.91
PET-C2-3,Fiber,Fiber_PET,Polyethylene_terephthalate,Degraded,73.5,96.3,169.8,70.93,1371.7117,17.443377,221.1044156,91.6667,0.2511,2,28,85,113,32.75
PET-C2-4,Fiber,Fiber_PET,Polyethylene_terephthalate,Degraded,78.9,103.3,182.2,50.92,1506.772469,13.130225,155.0013483,112.6582,0.2696,3,28,85,113,36.07
PET-C2-5,Fiber,Fiber_PET,Polyethylene_terephthalate,Degraded,98.5,44.6,143.1,71.1,1570.734957,19.836563,293.164375,94.1176,0.2154,2,28,85,113,37.47
PET-C2-6,Fiber,Fiber_PET,Polyethylene_terephthalate,Degraded,59.5,33.9,93.4,61.56,1635.62,22.70725,356.36475,86.9565,0.2028,3,28,85,113,39.12
PET-C2-7,Fiber,Fiber_PET,Polyethylene_terephthalate,Degraded,64.6,54.8,119.4,33.56,2197.033337,16.826207,193.8568966,86.5672,0.2763,2,28,85,113,52.32
PA-C2-1,Fiber,Fiber_PA,Polyamide,Degraded,134.3,96.2,230.5,52.39,2667.702439,16.138333,229.1303846,109.8592,0.2242,3,14,85,99,63.59
PA-C2-2,Fiber,Fiber_PA,Polyamide,Degraded,192.1,94.6,286.7,58.22,2422.753971,15.677195,232.9041463,118.8406,0.2143,2,14,85,99,57.67
PA-C2-3,Fiber,Fiber_PA,Polyamide,Degraded,124.2,114.4,238.6,61.17,2381.945985,15.007037,205.8508642,114.0845,0.2321,3,14,85,99,56.82
PA-C2-4,Fiber,Fiber_PA,Polyamide,Degraded,162.1,161.4,323.5,53.88,2239.422281,8.982222,101.4111111,158.8235,0.2819,2,14,85,99,53.32
PA-C2-5,Fiber,Fiber_PA,Polyamide,Degraded,131.7,138.0,269.7,59.77,2484.76,15.805546,199.1433613,100.0,0.2526,3,14,85,99,59.26
PA-C2-6,Fiber,Fiber_PA,Polyamide,Degraded,180.7,108.9,289.6,40.27,2952.658265,19.69981,280.7885714,91.3043,0.2233,2,14,85,99,70.23
PA-C2-7,Fiber,Fiber_PA,Polyamide,Degraded,191.4,177.4,368.8,44.96,2244.107092,15.188081,190.2028283,103.125,0.2542,2,14,85,99,53.43
